[2015-04-30 18:28:23] Log opened
[2015-04-30 18:28:37] Loaded world info for the overworld
[2015-04-30 18:29:37] Unloaded world info for the overworld
[2015-04-30 18:30:27] Log opened
[2015-04-30 18:30:32] Loaded world info for the overworld
[2015-04-30 23:50:43] Unloaded world info for the overworld
[2015-05-01 00:07:02] Log opened
[2015-05-01 00:07:08] Loaded world info for the overworld
[2015-05-01 00:17:38] Unloaded world info for the overworld
[2015-05-01 00:21:00] Log opened
[2015-05-01 00:21:06] Loaded world info for the overworld
[2015-05-01 00:46:34] Unloaded world info for the overworld
[2015-05-01 00:49:19] Log opened
[2015-05-01 00:49:26] Loaded world info for the overworld
[2015-05-01 00:51:22] Unloaded world info for the overworld
[2015-05-01 00:52:20] Log opened
[2015-05-01 00:52:26] Loaded world info for the overworld
[2015-05-01 16:29:06] Unloaded world info for the overworld
[2015-05-01 16:34:35] Log opened
[2015-05-01 16:34:50] Loaded world info for the overworld
[2015-05-01 19:45:48] Log opened
[2015-05-01 19:46:03] Loaded world info for the overworld
[2015-05-01 21:56:09] Loaded world info for world DIM-1
[2015-05-02 13:25:11] Unloaded world info for the overworld
[2015-05-02 13:25:11] Unloaded world info for world DIM-1
[2015-05-02 13:28:49] Log opened
[2015-05-02 13:28:57] Loaded world info for the overworld
[2015-05-02 13:31:12] Unloaded world info for the overworld
[2015-05-02 13:35:19] Log opened
[2015-05-02 13:35:26] Loaded world info for the overworld
[2015-05-02 13:45:13] Unloaded world info for the overworld
[2015-05-02 13:46:43] Log opened
[2015-05-02 13:46:51] Loaded world info for the overworld
[2015-05-02 14:36:45] Unloaded world info for the overworld
[2015-05-02 14:37:39] Log opened
[2015-05-02 14:37:47] Loaded world info for the overworld
[2015-05-03 01:01:14] Unloaded world info for the overworld
[2015-05-03 01:03:03] Log opened
[2015-05-03 01:03:10] Loaded world info for the overworld
[2015-05-03 12:59:21] Log opened
[2015-05-03 12:59:28] Loaded world info for the overworld
[2015-05-03 16:06:11] Unloaded world info for the overworld
[2015-05-03 16:08:27] Log opened
[2015-05-03 16:08:36] Loaded world info for the overworld
[2015-05-03 16:48:51] Log opened
[2015-05-03 16:48:59] Loaded world info for the overworld
[2015-05-03 18:53:48] Unloaded world info for the overworld
[2015-05-22 16:51:08] Log opened
[2015-05-22 16:51:17] Loaded world info for the overworld
[2015-05-22 16:54:13] Loader added at [-399,61,740] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:54:13] Loader removed (chunks will stay loaded for one second) at [-399,61,740] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:54:13] Loader added at [-399,61,740] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:54:13] Loader validated at [-399,61,740] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:54:13] Loader removed (chunks will stay loaded for one second) at [-399,61,740] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:54:13] Loader added at [-399,61,740] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-22 16:54:22] Loader removed (chunks will stay loaded for one second) at [-399,61,740] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-22 16:54:22] Loader added at [-399,61,740] in the overworld, owner=<server>, #chunks=1
[2015-05-22 16:55:09] Loader added at [225,90,1273] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:55:09] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:55:09] Loader added at [225,90,1273] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:55:09] Loader validated at [225,90,1273] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:55:09] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:55:09] Loader added at [225,90,1273] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-22 16:55:12] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-22 16:55:12] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-22 16:55:42] Loader added at [-408,165,742] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:55:42] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-22 16:55:42] Loader added at [-408,165,742] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:55:42] Loader validated at [-408,165,742] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-22 16:55:42] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<data lost; report this bug>, #chunks=1
